adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id,order
FALSE,2,19272,Directing,Joe Russo,Joe Russo,4.357,/679Os4tbY1YsU01KdLhM1NPXNWu.jpg,5e862cfafea6e30011fb6462,Directing,Director,299536,2
FALSE,2,2613318,Directing,Edward Drake,Edward Drake,1.357,,5ef2033f57d37800377b330a,Directing,Director,681887,1
FALSE,2,90638,Directing,Phil Weinstein,Phil Weinstein,2.088,,614c6feeb04228006394b9b2,Directing,Director,864388,1
FALSE,2,62768,Directing,William Brent Bell,William Brent Bell,1.156,/f7BvvN72ZhESBQ7wrCVw8M4D9by.jpg,5fa08c462ceb53003959df2c,Directing,Director,760195,1
FALSE,2,1002647,Writing,Cédric Jimenez,Cédric Jimenez,0.734,/1kYOeygLOQQ7ub3pQlp9U7gsb9M.jpg,5d9b00a581a7fc0020c67a77,Directing,Director,637534,1
FALSE,2,2710,Directing,James Cameron,James Cameron,4.773,/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,52fe48009251416c750ac9c3,Directing,Director,19995,1
FALSE,0,1577606,Directing,Türkan Derya,Türkan Derya,0.6,,61439f3d1b70ae00426f41eb,Directing,Director,874948,1
FALSE,0,3251415,Directing,Vinicius Videla,Vinicius Videla,0.6,,615379e167dcc9008ce97ac0,Directing,Director,879163,1
FALSE,2,40282,Production,Philippe Martinez,Philippe Martinez,0.6,,6166f1e6cee481008d1f7fef,Directing,Director,762469,1
FALSE,2,59248,Writing,Mick Davis,Mick Davis,0.6,,6166f1dbd7f465005f9d2e6f,Directing,Director,762469,2
FALSE,2,474866,Directing,Mark Baldo,Mark Baldo,0.828,,606378a01130bd0055611533,Directing,Director,812204,1
FALSE,2,1415665,Directing,Reinaldo Marcus Green,Reinaldo Marcus Green,1.803,/4QYHfAHH2Vatsm1KoF8cXtl47jo.jpg,5d288ad2caab6d6659993419,Directing,Director,614917,1
FALSE,2,47005,Directing,Alan Taylor,Alan Taylor,2.601,/sXC2wNRo7lshghNnNaPdWQ9sqKe.jpg,5b3bf32e92514102a7002cc6,Directing,Director,524369,1
FALSE,1,1702466,Writing,Léa Mysius,Léa Mysius,0.6,/cOInNiOSrSEaLfQtqmJWnA1sRKY.jpg,58fa3e38c3a3687c9600d1af,Directing,Director,453354,1
FALSE,2,1222157,Directing,Shuko Murase,Shuko Murase,0.84,,5e76ab92d18b2400157f543e,Directing,Director,685274,1
FALSE,2,578,Directing,Ridley Scott,Ridley Scott,14.199,/zABJmN9opmqD4orWl3KSdCaSo7Q.jpg,5dbd148a7d2bc10013331e9f,Directing,Director,644495,1
FALSE,0,2998811,Directing,Alex Kamb,Alex Kamb,0.6,,61630b9b91745b002bb598cf,Directing,Director,882206,1
FALSE,1,1364908,Acting,Caroline Vigneaux,Caroline Vigneaux,2.377,/mO8KIujVTQDpZkzC2YgkbsFvq7Z.jpg,6058baba6bdec3003dacd0c7,Directing,Director,809065,1
FALSE,2,1715631,Directing,Shawn Welling,Shawn Welling,0.6,/8BPuaX6cjdxZLXG9rO7pHMYndAE.jpg,602976169a358d0041fe67e6,Directing,Director,706972,1
FALSE,2,1947876,Directing,Tetsuo Yajima,Tetsuo Yajima,1.62,,5e1888b91ad93b00133ee22c,Directing,Director,662708,1
FALSE,1,1586194,Production,Jenny Gage,Jenny Gage,1.4,,5b5cefbac3a368422c01a61f,Directing,Director,537915,1
FALSE,2,1565301,Writing,Thomas Astruc,Thomas Astruc,4.262,,5fa7fb0641465c0041c1f4dc,Directing,Director,755812,1
FALSE,2,1307036,Directing,Kenji Nagasaki,Kenji Nagasaki,1.947,,5d85a60ce78e2d001073c845,Directing,Director,592350,1
FALSE,0,125101,Acting,Roy Chow Hin-Yeung,Roy Chow Hin-Yeung,1.4,,5b037d4c0e0a2623e301fe35,Directing,Director,525660,1
FALSE,2,588816,Directing,Carlos Therón,Carlos Therón,0.98,,5d1e167394d8a84bf13d0c47,Directing,Director,613098,1
FALSE,0,117168,Directing,Hank Braxtan,Hank Braxtan,1.02,,60e49d2aa3b5e6005d8f127e,Directing,Director,848278,1
FALSE,2,11614,Directing,M. Night Shyamalan,M. Night Shyamalan,7.394,/tOhFWjauKvJgjCVLJFnhbBCZuxZ.jpg,5d806642389da1002095d2eb,Directing,Director,631843,1
FALSE,0,1321390,Production,Hicham Hajji,Hicham Hajji,1.4,,5fe1e64f8e2ba600409b846f,Directing,Director,767304,1
FALSE,2,227439,Directing,Don Hall,Don Hall,3.719,/wT8rqrI65ROqwuJUGEv1A0rLoE0.jpg,5f481bc1a2e6020035f41bf2,Directing,Director,527774,1
FALSE,2,1932178,Directing,Carlos López Estrada,Carlos López Estrada,1.783,/hmmicxProrj8sXYu5obBu5QNsNR.jpg,5f481bf33c3ab000326a8e42,Directing,Director,527774,2
FALSE,0,1722811,Production,Brian Andrew Mendoza,Brian Andrew Mendoza,0.6,,5d3f883434e1521105e88f55,Directing,Director,619297,1
FALSE,2,64278,Directing,Michael Feifer,Michael Feifer,2.982,/jpN5kuRan3QSlTYkKNn71HbKfdi.jpg,6111cf7d4a52f8005cc8c9da,Directing,Director,859860,1
FALSE,2,82194,Directing,Neill Blomkamp,Neill Blomkamp,2.591,/yj40QEEfjbRFnlwY0XunocNKdAe.jpg,5fcfaa7c7314a1003fd1a613,Directing,Director,774021,1
FALSE,2,21085,Directing,Alex Proyas,Alex Proyas,0.98,/sauDcvpta6UpDMIaI7F9UdSliaC.jpg,52fe45a49251416c7505d725,Directing,Director,13811,1
FALSE,2,70652,Directing,Derek Drymon,Derek Drymon,1.848,/1ZdPd2JaiigVDB7hPxy29RAx9GY.jpg,6070eef9dfaae9002b30142d,Directing,Director,813258,1
FALSE,1,2093022,Directing,Jennifer Kluska,Jennifer Kluska,1.199,/wpYWJ7Kw5qcXEOZyTuIEsfqMqXq.jpg,6070f379d4b9d90040d5244e,Directing,Director,813258,2
FALSE,1,1659094,Directing,Cecilia Aranovich,Cecilia Aranovich,1.38,,60d22f0395c0af005e2bd07a,Directing,Director,843906,1
FALSE,2,59918,Writing,Rodney Rothman,Rodney Rothman,0.794,/3GlFmeP4me6uxZGVsmnC0d4A5BV.jpg,5c005a6c9251417e55014b78,Directing,Director,324857,1
FALSE,2,151007,Directing,Peter Ramsey,Peter Ramsey,1.239,/9vCpMCgf5R0EQkWbylKTvtxzsB.jpg,5a2bdad2925141032c13b87e,Directing,Director,324857,2
FALSE,2,936670,Directing,Bob Persichetti,Bob Persichetti,0.833,/e8ezXe2id6TRTxDsL9lTpw4pM93.jpg,57f3dcefc3a3682f800001d9,Directing,Director,324857,3
FALSE,0,2930485,Directing,Aaron Fjellman,Aaron Fjellman,0.6,,5ffaf822dd83fa003f6eecaf,Directing,Director,777620,1
FALSE,1,6884,Directing,Patty Jenkins,Patty Jenkins,4.969,/9zdvRFn2iapRqG6OzrE7E92ByHw.jpg,5a847700c3a36863e700ec11,Directing,Director,464052,1
FALSE,2,89972,Directing,Hajime Kamegaki,Hajime Kamegaki,3.168,/l0tvUz7ITTAyLY7XNmSTTO7f8Al.jpg,52fe4407c3a368484e00b4d5,Directing,Director,20982,1
FALSE,0,1025684,Acting,Douglas Attal,Douglas Attal,0.98,/86r4OFNjfpeElAgMAj3bPhtRNK2.jpg,5daed82aa44d090017828013,Directing,Director,641501,1
FALSE,2,74629,Directing,Jon Keeyes,Jon Keeyes,0.629,,60917780168ea30079e4f653,Directing,Director,825997,1
FALSE,2,55789,Directing,Tate Taylor,Tate Taylor,1.4,/zJaLbNHLoQMhCAeJhn1J1B0xrup.jpg,5b85eb8692514149f9002cdb,Directing,Director,539885,1
FALSE,2,15217,Directing,Zack Snyder,Zack Snyder,6.845,/iD0GDqkvJXDXiNEZej198hjt3Tt.jpg,5c50f29a92514151a95be870,Directing,Director,503736,1
FALSE,2,1046225,Writing,Rodo Sayagues,Rodo Sayagues,1.473,,5e2129bf20af77001438797d,Directing,Director,482373,1
FALSE,2,10965,Directing,Chris Columbus,Chris Columbus,3.203,/p7VSWFQ6V99p3jLJOrNI1NlnTrg.jpg,52fe4267c3a36847f801be05,Directing,Director,671,1
FALSE,2,1413077,Directing,Ram Madhvani,Ram Madhvani,0.6,/dMjTWf6nCqUZCWZT8LbiaK5YwBW.jpg,5fbb32ec8de0ae003f4ce29e,Directing,Director,767377,1
FALSE,2,1084905,Directing,Keishi Ōtomo,Keishi Ōtomo,1.135,/fHIRSwbRmRhEvfb9zaCLhj9WnE0.jpg,5e44d4323dd12600145b6817,Directing,Director,672322,1
FALSE,0,2925149,Acting,Sean Bichimer,Sean Bichimer,0.6,,6140bd2d56b9f7008b9a74e8,Directing,Director,874209,1
FALSE,2,80739,Directing,Rodolfo Riva Palacio Alatriste,Rodolfo Riva Palacio Alatriste,0.6,/3l2GOj0Bgh8EyIWqhQ2tJftOoQr.jpg,5c316b97c3a3680835a5c8ae,Directing,Director,573164,1
FALSE,2,80740,Directing,Gabriel Riva Palacio Alatriste,Gabriel Riva Palacio Alatriste,0.694,/8ZydxnfCecBkjgD5iQh0QEXVHZb.jpg,5c316b8f0e0a2663023b91f7,Directing,Director,573164,2
FALSE,2,447777,Directing,Magnus Martens,Magnus Martens,0.84,/tarEJ7CPNK4IsVb4c1kCEDGWbsu.jpg,6027d923651fcf003fcfb7a6,Directing,Director,595743,1
FALSE,0,1652349,Directing,Luke Armstrong,Luke Armstrong,0.98,,5f4c7e9d74507d0032b23d89,Directing,Director,725273,1
FALSE,0,1192942,Directing,Everardo Gout,Everardo Gout,0.828,,5d4391b2ea7b0e0014893261,Directing,Director,602223,1
FALSE,2,4014,Directing,Paul W. S. Anderson,Paul W. S. Anderson,2.927,/AeYYSi30WCkowdk04Awa0kr1E4S.jpg,5921e29f9251414a5705a1ee,Directing,Director,458576,1
FALSE,2,12891,Writing,Joss Whedon,Joss Whedon,4.502,/mVvpZnKYKSCtkOQixQnOonV5kv3.jpg,52fe4495c3a368484e02b1a1,Directing,Director,24428,1
FALSE,2,20400,Directing,Tim Story,Tim Story,1.215,/d1VJwZmNnsZlDq9aAjJf95tehKh.jpg,5c887b2c0e0a267d08c026cd,Directing,Director,587807,1
FALSE,2,17697,Acting,John Krasinski,John Krasinski,8.161,/qnFaKgzLyvhbE2S5k3VrYeBu6CP.jpg,5c70a05a0e0a262c11797ce2,Directing,Director,520763,1
FALSE,2,81328,Directing,Andrew Traucki,Andrew Traucki,1.4,/luT730l4v4pQlmiuK4GsswRBrqN.jpg,5aed8e309251411d02007dc6,Directing,Director,522444,1
FALSE,2,19271,Directing,Anthony Russo,Anthony Russo,3.402,/fIa5wXK7MHAquhefTr3TcnZiYy8.jpg,5e862c92326ec1001719deec,Directing,Director,299534,1
FALSE,2,19272,Directing,Joe Russo,Joe Russo,4.357,/679Os4tbY1YsU01KdLhM1NPXNWu.jpg,5e862ca1a5743d00180f9366,Directing,Director,299534,2
FALSE,2,4746,Production,Robert Lorenz,Robert Lorenz,0.991,,5d8dc1808289a00029cb3e8d,Directing,Director,634528,1
FALSE,2,80675,Writing,Evan Spiliotopoulos,Evan Spiliotopoulos,3.934,/cznBeImhZFRIcRBKHo99nAdf1zJ.jpg,5d82f99ac490480221d189fe,Directing,Director,632357,1
FALSE,2,583932,Directing,Jared Cohn,Jared Cohn,0.652,/nFAa6ebhJtauYprTJmXSaS2LJI0.jpg,611696da151c5c002c768224,Directing,Director,861057,1
FALSE,2,8,Directing,Lee Unkrich,Lee Unkrich,1.534,/oeUkLlak2lqKRYZmJZZv5gI87Ok.jpg,55d1c0b0c3a3686e35001ea6,Directing,Director,354912,1
FALSE,2,1607672,Directing,Michael Chaves,Michael Chaves,3.198,/uS8waIEPA4N2llVZO1su1cIo0sW.jpg,5bb60a209251410dcb00d6db,Directing,Director,423108,1
FALSE,0,1116780,Crew,José Luis Ucha,José Luis Ucha,0.6,,603ac345176a940062553d18,Directing,Director,597316,1
FALSE,0,1554996,Crew,Mark Fattibene,Mark Fattibene,0.6,,603ac36fdb70580051f83610,Directing,Director,597316,2
FALSE,0,1905014,Visual Effects,Robert Cullen,Robert Cullen,0.6,,603ac31c126ec30052ad5f00,Directing,Director,597316,3
FALSE,2,1179651,Acting,Lin-Manuel Miranda,Lin-Manuel Miranda,3.638,/r0wFwPa041pZ1QM66yJWuQXCkqx.jpg,5b53c9cfc3a3680b6602351f,Directing,Director,537116,1
FALSE,0,2320943,Directing,Tsuneo Kobayashi,Tsuneo Kobayashi,1.62,,5ce92918925141578bb8e8ac,Directing,Director,317442,1
FALSE,2,7904,Acting,Billy Crystal,Billy Crystal,5.159,/6QNyXn8NPQDEctSuDLgg5AHmsiR.jpg,5ed595368ddc340021d85d76,Directing,Director,711475,1
FALSE,2,1483924,Directing,Hiroyuki Yamashita,Hiroyuki Yamashita,1.694,/ilLXdEYCg4kZNhN6fxNjpX15Xb0.jpg,5595304b9251410d3b0000b8,Directing,Director,347201,1
FALSE,2,197,Writing,David Silverman,David Silverman,13.23,/4ia152M03hntrS7FBHveRx2VeuP.jpg,60e58f71d7cd06005de90394,Directing,Director,846214,1
FALSE,2,11343,Directing,David Yates,David Yates,4.386,/hAHOxR0NK4cZDumqNIpDoEdGVAh.jpg,52fe44e29251416c7504457d,Directing,Director,12445,1
FALSE,2,12890,Writing,Pete Docter,Pete Docter,3.643,/rrAW10FlcOjqMllSwNBrFjfUT4k.jpg,5c65ae76c3a36843c6d8a8ad,Directing,Director,508442,1
FALSE,0,1754017,Directing,Oleg Trofim,Oleg Trofim,0.6,,5df7415365686e001886b226,Directing,Director,529106,1
FALSE,0,3126020,Directing,Julian Gaviria,Julian Gaviria,0.6,,60c8e1ebca8354005704a727,Directing,Director,840756,1
FALSE,2,10965,Directing,Chris Columbus,Chris Columbus,3.203,/p7VSWFQ6V99p3jLJOrNI1NlnTrg.jpg,52fe4267c3a36847f801bf49,Directing,Director,672,1
FALSE,2,11218,Directing,Alfonso Cuarón,Alfonso Cuarón,3.64,/gaHhrzPfxfc3cbQLkDt54gtP3n1.jpg,52fe4268c3a36847f801c0c9,Directing,Director,673,1
FALSE,2,10723,Directing,Mike Newell,Mike Newell,1.799,/zeLnvLZtyJaBP1wWceRM7HWkm0E.jpg,52fe4268c3a36847f801c257,Directing,Director,674,1
